district,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price_sale,price_growth_qoq,price_growth_yoy,ine_transaction_count_national,ine_transaction_value_thousands_national,ine_price_value_index_national,ine_volume_index_national,mortgage_rate_fixed_pct_national,fdi_realestate_transactions_meur_national,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional
aveiro,1T2015,2015,1,2015-01-01,782.6666666666666,3.6999999999999997,6.662706892279878,,,21762.0,2662680.0,101.19388995618124,96.176070887978,,319.12,12554.79,125514.7,0.7000000000000001,10381838.0,14.2
aveiro,2T2015,2015,2,2015-04-01,789.0,3.766666666666667,6.670766320845874,0.008091993185689983,,20614.0,2509888.0,100.69923957118108,91.10254228861218,,297.14,12851.93,125514.7,0.8333333333333334,10381838.0,12.4
aveiro,3T2015,2015,3,2015-07-01,825.0,3.9333333333333336,6.715383386334681,0.04562737642585546,,22928.0,2697752.0,97.31280042246271,101.32914958733386,,319.68,13171.62,125514.7,1.1333333333333335,10381838.0,12.3
aveiro,4T2015,2015,4,2015-10-01,823.3333333333334,3.9,6.713361140953913,-0.002020202020201922,,25205.0,3071762.0,100.79407005017497,111.39223723607596,,405.34,13576.96,125514.7,1.2000000000000002,10381838.0,12.5
aveiro,1T2016,2016,1,2016-01-01,804.6666666666666,4.0,6.690428112989367,-0.02267206477732797,0.028109028960817684,24926.0,3001077.0,99.57691524589762,110.1592106862301,,434.9,14011.86,127838.92,1.3666666666666665,10356516.0,12.8
aveiro,2T2016,2016,2,2016-04-01,802.0,4.033333333333333,6.687108607866515,-0.003314001657000798,0.016476552598225558,26890.0,3267885.0,100.5101875107177,118.83901048514512,,401.38,14413.24,127838.92,1.3666666666666665,10356516.0,11.2
aveiro,3T2016,2016,3,2016-07-01,801.6666666666666,4.1000000000000005,6.686692893871752,-0.0004156275976725521,-0.028282828282828354,26675.0,3173236.0,98.38571929954205,117.8888287352639,,331.47,14744.71,127838.92,1.2000000000000002,10356516.0,10.9
aveiro,4T2016,2016,4,2016-10-01,811.6666666666666,4.066666666666666,6.69908974684858,0.012474012474012364,-0.014170040485830038,28999.0,3551512.0,101.2894901297318,128.15963053398005,,408.85,15153.56,127838.92,1.2000000000000002,10356516.0,10.8
aveiro,1T2017,2017,1,2017-01-01,814.0,4.033333333333333,6.70196036600254,0.002874743326488849,0.011599005799503015,29975.0,3800102.0,104.85042196590872,132.4730137334409,,489.78,15643.34,138586.19,1.2666666666666668,10340124.0,10.4
aveiro,2T2017,2017,2,2017-04-01,827.6666666666666,4.066666666666666,6.718610496840057,0.01678951678951668,0.032003325020781404,31197.0,4021419.0,106.61065537213086,137.8735816327658,,370.69,16014.03,138586.19,1.3333333333333333,10340124.0,9.1
aveiro,3T2017,2017,3,2017-07-01,839.0,4.466666666666667,6.732210706467206,0.013693113169553017,0.04656964656964657,32722.0,4258992.0,107.64679513938984,144.61324288192336,,384.08,16398.1,138586.19,1.5,10340124.0,8.8
aveiro,4T2017,2017,4,2017-10-01,865.6666666666666,4.533333333333333,6.763499922994638,0.031783869686134336,0.06652977412731009,35940.0,4898678.0,112.72881483438267,158.83503298014563,,440.43,16838.54,138586.19,1.7666666666666668,10340124.0,8.3
aveiro,1T2018,2018,1,2018-01-01,873.0,4.466666666666667,6.771935555839602,0.008471313053523444,0.07248157248157239,34449.0,4755125.0,114.16144018167434,152.2456330309693,,495.45,17333.99,136252.87,1.8,10334633.0,8.0
aveiro,2T2018,2018,2,2018-04-01,880.3333333333334,4.8,6.780300623629023,0.008400152730049681,0.06363270237615803,38730.0,5425227.0,115.8522674050557,171.16529847860434,,514.24,17848.23,136252.87,1.9000000000000001,10334633.0,6.9
aveiro,3T2018,2018,3,2018-07-01,980.3333333333334,5.0,6.8878926498858855,0.11359333585762976,0.16845450933651174,38964.0,5512302.0,117.00477583884005,172.19944977847507,,434.61,18282.84,136252.87,2.1333333333333333,10334633.0,6.800000000000001
aveiro,4T2018,2018,4,2018-10-01,984.0,5.1000000000000005,6.891625897052253,0.0037402244134647766,0.13669618790912597,39066.0,5414883.0,114.63685212246476,172.65023367841872,2.64,498.33,18781.17,136252.87,2.233333333333334,10334633.0,6.7
aveiro,1T2019,2019,1,2019-01-01,1008.3333333333334,5.3,6.916054081796832,0.02472899728997291,0.1550210003818251,36954.0,5261090.0,117.7466059092851,163.31635527958545,2.8666666666666667,445.76,19226.93,148342.92,2.366666666666667,10354446.0,6.9
aveiro,2T2019,2019,2,2019-04-01,1044.3333333333333,5.599999999999999,6.951134002284082,0.03570247933884296,0.18629307080651247,36681.0,5414806.0,122.08880842455076,162.10984542973628,3.1566666666666667,415.35,19642.28,148342.92,2.466666666666667,10354446.0,6.300000000000001
aveiro,3T2019,2019,3,2019-07-01,1061.6666666666667,6.1000000000000005,6.967595279338154,0.016597510373444146,0.08296497789867385,39554.0,5800028.0,121.2757031962132,174.80692527814915,2.4133333333333336,418.47,20060.75,148342.92,2.4000000000000004,10354446.0,6.2
aveiro,4T2019,2019,4,2019-10-01,1073.0,6.333333333333333,6.9782137426306985,0.010675039246467843,0.09044715447154461,41676.0,6136268.0,121.77339389322496,184.18499817697688,2.1866666666666665,490.46,20551.21,148342.92,2.4000000000000004,10354446.0,6.800000000000001
aveiro,1T2020,2020,1,2020-01-01,1110.0,6.5,7.01211529430638,0.034482758620689724,0.1008264462809918,36399.0,5785538.0,131.4584231641285,160.86356052989206,2.21,468.51,21019.72,150377.77,2.533333333333333,10384846.0,6.9
aveiro,2T2020,2020,2,2020-04-01,1136.3333333333333,6.566666666666666,7.035561983469793,0.023723723723723555,0.08809447813597182,26379.0,4125502.0,129.34587844472952,116.5806715354274,2.21,274.49,21294.21,150377.77,2.2,10384846.0,5.7
aveiro,3T2020,2020,3,2020-07-01,1183.0,6.7,7.075808863978387,0.041067761806981684,0.1142857142857141,35596.0,5427603.0,126.10752326248976,157.31474218033566,2.08,352.27,21646.48,150377.77,2.1333333333333333,10384846.0,8.200000000000001
aveiro,4T2020,2020,4,2020-10-01,1231.6666666666667,6.8999999999999995,7.116123544714193,0.04113834883065648,0.1478720099409756,39139.0,6098441.0,128.86744612614154,172.97285352837838,2.1266666666666665,488.87,22135.35,150377.77,2.1,10384846.0,7.300000000000001
aveiro,1T2021,2021,1,2021-01-01,1281.0,7.066666666666666,7.155396301896734,0.04005412719891743,0.15405405405405403,34614.0,5595240.0,133.69065495381548,152.97484228087814,1.9566666666666668,345.02,22480.37,164176.4,1.9000000000000001,,7.2
aveiro,2T2021,2021,2,2021-04-01,1296.3333333333333,6.8,7.167295045487638,0.011969815248503712,0.14080375476679374,41736.0,6933006.0,137.38675721914424,184.45016517694373,2.1933333333333334,512.35,22992.72,164176.4,2.866666666666667,,6.9
aveiro,3T2021,2021,3,2021-07-01,1344.3333333333333,6.733333333333333,7.203653506205258,0.037027513499614306,0.1363764440687516,43447.0,7345978.0,139.83759623515712,192.0118441259985,2.18,570.74,23563.46,164176.4,4.033333333333334,,6.300000000000001
