district,quarter,price_sqm_sale,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,avg_transaction_value,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur
aveiro,2015Q1,782.6666666666666,6.662706892279878,,,21762,2662680,122354.5629997243,101.19388995618124,96.176070887978,,319.12
aveiro,2015Q2,789.0,6.670766320845874,0.008059428565996285,,20614,2509888,121756.47618123604,100.69923957118108,91.10254228861218,,297.14
aveiro,2015Q3,825.0,6.715383386334681,0.04461706548880695,,22928,2697752,117661.89811584089,97.31280042246271,101.32914958733386,,319.68
aveiro,2015Q4,823.3333333333334,6.713361140953913,-0.002022245380767451,,25205,3071762,121871.13667923032,100.79407005017497,111.39223723607596,,405.34
aveiro,2016Q1,804.6666666666666,6.690428112989367,-0.022933027964546326,0.027721220709489458,24926,3001077,120399.46240872984,99.57691524589762,110.1592106862301,,434.9
aveiro,2016Q2,802.0,6.687108607866515,-0.0033195051228522843,0.01634228702064089,26890,3267885,121527.89140944587,100.5101875107177,118.83901048514512,,401.38
aveiro,2016Q3,801.6666666666666,6.686692893871752,-0.00041571399476314497,-0.028690492462929207,26675,3173236,118959.17525773196,98.38571929954205,117.8888287352639,,331.47
aveiro,2016Q4,811.6666666666666,6.69908974684858,0.012396852976828576,-0.01427139410533318,28999,3551512,122470.15414324631,101.2894901297318,128.15963053398005,,408.85
aveiro,2017Q1,814.0,6.70196036600254,0.002870619153959808,0.011532253013172955,29975,3800102,126775.7130942452,104.85042196590872,132.4730137334409,,489.78
aveiro,2017Q2,827.6666666666666,6.718610496840057,0.016650130837517096,0.031501888973542336,31197,4021419,128904.02923358016,106.61065537213086,137.8735816327658,,370.69
aveiro,2017Q3,839.0,6.732210706467206,0.013600209627148807,0.04551781259545429,32722,4258992,130156.83637919444,107.64679513938984,144.61324288192336,,384.08
aveiro,2017Q4,865.6666666666666,6.763499922994638,0.03128921652743255,0.06441017614605826,35940,4898678,136301.55815247635,112.72881483438267,158.83503298014563,,440.43
aveiro,2018Q1,873.0,6.771935555839602,0.008435632844963514,0.06997518983706197,34449,4755125,138033.76005109,114.16144018167434,152.2456330309693,,495.45
aveiro,2018Q2,880.3333333333334,6.780300623629023,0.0083650677894207,0.06169012678896557,38730,5425227,140078.15646785437,115.8522674050557,171.16529847860434,,514.24
aveiro,2018Q3,980.3333333333334,6.8878926498858855,0.10759202625686282,0.15568194341867958,38964,5512302,141471.66615337235,117.00477583884005,172.19944977847507,,434.61
aveiro,2018Q4,984.0,6.891625897052253,0.0037332471663678035,0.12812597405761483,39066,5414883,138608.58547074182,114.63685212246476,172.65023367841872,2.64,498.33
aveiro,2019Q1,1008.3333333333334,6.916054081796832,0.024428184744579085,0.1441185259572304,36954,5261090,142368.62044704228,117.7466059092851,163.31635527958545,2.8666666666666667,445.76
aveiro,2019Q2,1044.3333333333333,6.951134002284082,0.035079920487249616,0.17083337865505932,36681,5414806,147618.82173332243,122.08880842455076,162.10984542973628,3.1566666666666667,415.35
