district,quarter,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional,log_price_lag1,t
aveiro,2024-01-01,1T2024,2024,2024Q1,2024-01-01,1684.0,9.2,7.428927194802272,0.015559859107032281,0.013952787648255693,33077.0,6730533.0,168.28967248471187,146.18214763172722,3.813333333333333,664.25,31967.15,201383.75,,11295785.0,6.800000000000001,7.41336733569524,36
aveiro,2024-04-01,2T2024,2024,2024Q2,2024-04-01,1713.6666666666667,9.7,7.446390603387395,0.017463408585123297,0.02840988071130024,37125.0,7876682.0,175.47327047702692,164.072081229491,3.87,863.79,32830.94,201383.75,,11295785.0,6.2,7.428927194802272,37
aveiro,2024-07-01,3T2024,2024,2024Q3,2024-07-01,1731.3333333333333,9.533333333333331,7.456647103554584,0.010256500167188598,0.040669586676570724,40909.0,9052016.0,183.003994750677,180.7952800274006,3.673333333333334,962.02,33792.96,201383.75,,11295785.0,6.2,7.446390603387395,38
aveiro,2024-10-01,4T2024,2024,2024Q4,2024-10-01,1772.6666666666667,9.633333333333333,7.480240283134855,0.023593179580271517,0.0668729474396157,45214.0,10173942.0,186.10174614443363,199.8210122750224,3.41,1048.07,34841.03,201383.75,,11295785.0,6.7,7.456647103554584,39
aveiro,2025-01-01,1T2025,2025,2025Q1,2025-01-01,1825.3333333333333,9.6,7.509517897740229,0.02927761460537326,0.08059070293795667,41358.0,9617638.0,192.3282226547581,182.77961307715256,3.4499999999999997,968.9,35809.93,213730.82,,11405627.0,6.6000000000000005,7.480240283134855,40
azores,2015-01-01,1T2015,2015,2015Q1,2015-01-01,934.3333333333334,,6.839833262496678,,,21762.0,2662680.0,101.19388995618124,96.176070887978,,319.12,12554.79,125514.7,0.7000000000000001,10381838.0,14.8,,0
azores,2015-04-01,2T2015,2015,2015Q2,2015-04-01,951.6666666666666,,6.858214833422001,0.018381570925322777,,20614.0,2509888.0,100.69923957118108,91.10254228861218,,297.14,12851.93,125514.7,0.8333333333333334,10381838.0,11.2,6.839833262496678,1
azores,2015-07-01,3T2015,2015,2015Q3,2015-07-01,930.6666666666666,,6.835901175214153,-0.02231365820784781,,22928.0,2697752.0,97.31280042246271,101.32914958733386,,319.68,13171.62,125514.7,1.1333333333333335,10381838.0,12.0,6.858214833422001,2
azores,2015-10-01,4T2015,2015,2015Q4,2015-10-01,884.0,,6.784457062637643,-0.05144411257650994,,25205.0,3071762.0,100.79407005017497,111.39223723607596,,405.34,13576.96,125514.7,1.2000000000000002,10381838.0,12.5,6.835901175214153,3
azores,2016-01-01,1T2016,2016,2016Q1,2016-01-01,884.5,,6.78502251359984,0.000565450962196401,-0.05481074889683857,24926.0,3001077.0,99.57691524589762,110.1592106862301,,434.9,14011.86,127838.92,1.3666666666666665,10356516.0,12.2,6.784457062637643,4
azores,2016-04-01,2T2016,2016,2016Q2,2016-04-01,867.611111111111,,6.7657435855916805,-0.019278928008159113,-0.09247124783032046,26890.0,3267885.0,100.5101875107177,118.83901048514512,,401.38,14413.24,127838.92,1.3666666666666665,10356516.0,11.0,6.78502251359984,5
azores,2016-07-01,3T2016,2016,2016Q3,2016-07-01,862.3333333333334,,6.759641893517919,-0.0061016920737611,-0.07625928169623375,26675.0,3173236.0,98.38571929954205,117.8888287352639,,331.47,14744.71,127838.92,1.2000000000000002,10356516.0,10.6,6.7657435855916805,6
azores,2016-10-01,4T2016,2016,2016Q4,2016-10-01,848.6666666666666,,6.743666490449242,-0.015975403068677174,-0.040790572188400986,28999.0,3551512.0,101.2894901297318,128.15963053398005,,408.85,15153.56,127838.92,1.2000000000000002,10356516.0,10.3,6.759641893517919,7
azores,2017-01-01,1T2017,2017,2017Q1,2017-01-01,872.0,,6.77078942390898,0.027122933459737375,-0.014233089690860012,29975.0,3800102.0,104.85042196590872,132.4730137334409,,489.78,15643.34,138586.19,1.2666666666666668,10340124.0,9.2,6.743666490449242,8
azores,2017-04-01,2T2017,2017,2017Q2,2017-04-01,861.1666666666666,,6.758288059059129,-0.012501364849850205,-0.007455526532551104,31197.0,4021419.0,106.61065537213086,137.8735816327658,,370.69,16014.03,138586.19,1.3333333333333333,10340124.0,10.1,6.77078942390898,9
azores,2017-07-01,3T2017,2017,2017Q3,2017-07-01,838.5833333333334,,6.731713960145333,-0.026574098913796362,-0.027927933372586367,32722.0,4258992.0,107.64679513938984,144.61324288192336,,384.08,16398.1,138586.19,1.5,10340124.0,8.200000000000001,6.758288059059129,10
azores,2017-10-01,4T2017,2017,2017Q4,2017-10-01,856.0833333333334,,6.7523677234282635,0.02065376328293045,0.008701232979021256,35940.0,4898678.0,112.72881483438267,158.83503298014563,,440.43,16838.54,138586.19,1.7666666666666668,10340124.0,8.1,6.731713960145333,11
azores,2018-01-01,1T2018,2018,2018Q1,2018-01-01,839.3333333333334,,6.732607925936183,-0.0197597974920809,-0.03818149797279702,34449.0,4755125.0,114.16144018167434,152.2456330309693,,495.45,17333.99,136252.87,1.8,10334633.0,8.9,6.7523677234282635,12
azores,2018-04-01,2T2018,2018,2018Q2,2018-04-01,855.9166666666666,,6.752173019377804,0.019565093441621606,-0.006115039681325207,38730.0,5425227.0,115.8522674050557,171.16529847860434,,514.24,17848.23,136252.87,1.9,10334633.0,8.1,6.732607925936183,13
azores,2018-07-01,3T2018,2018,2018Q3,2018-07-01,916.3333333333334,,6.820380199497136,0.06820718011933202,0.08866623935180318,38964.0,5512302.0,117.00477583884005,172.19944977847507,,434.61,18282.84,136252.87,2.1333333333333333,10334633.0,8.6,6.752173019377804,14
azores,2018-10-01,4T2018,2018,2018Q4,2018-10-01,892.0,,6.79346613258001,-0.02691406691712661,0.04109840915174612,39066.0,5414883.0,114.63685212246476,172.65023367841872,2.64,498.33,18781.17,136252.87,2.233333333333334,10334633.0,8.200000000000001,6.820380199497136,15
azores,2019-01-01,1T2019,2019,2019Q1,2019-01-01,864.5,,6.7621513051233455,-0.03131482745666414,0.029543379187162877,36954.0,5261090.0,117.7466059092851,163.31635527958545,2.8666666666666667,445.76,19226.93,148342.92,2.366666666666667,10354446.0,8.3,6.79346613258001,16
azores,2019-04-01,2T2019,2019,2019Q2,2019-04-01,835.5833333333334,7.0,6.728130083735925,-0.034021221387420475,-0.024042935641879204,36681.0,5414806.0,122.08880842455076,162.10984542973628,3.1566666666666667,415.35,19642.28,148342.92,2.466666666666667,10354446.0,8.0,6.7621513051233455,17
azores,2019-07-01,3T2019,2019,2019Q3,2019-07-01,840.5,6.3,6.7339969528486705,0.005866869112745476,-0.08638324664846575,39554.0,5800028.0,121.2757031962132,174.80692527814915,2.4133333333333336,418.47,20060.75,148342.92,2.4000000000000004,10354446.0,7.300000000000001,6.728130083735925,18
azores,2019-10-01,4T2019,2019,2019Q4,2019-10-01,845.25,6.833333333333333,6.739632441587996,0.0056354887393252895,-0.05383369099201385,41676.0,6136268.0,121.77339389322496,184.18499817697688,2.1866666666666665,490.46,20551.21,148342.92,2.4000000000000004,10354446.0,7.5,6.7339969528486705,19
azores,2020-01-01,1T2020,2020,2020Q1,2020-01-01,880.3333333333334,6.6,6.780300623629023,0.040668182041026846,0.018149318505677137,36399.0,5785538.0,131.4584231641285,160.86356052989206,2.21,468.51,21019.72,150377.77,2.533333333333333,10384846.0,7.1000000000000005,6.739632441587996,20
azores,2020-04-01,2T2020,2020,2020Q2,2020-04-01,923.3333333333334,6.2,6.827990310513274,0.04768968688425179,0.0998602267773494,26379.0,4125502.0,129.34587844472952,116.5806715354274,2.21,274.49,21294.21,150377.77,2.2,10384846.0,4.7,6.780300623629023,21
azores,2020-07-01,3T2020,2020,2020Q3,2020-07-01,931.6666666666666,6.8999999999999995,6.83697509692109,0.008984786407815193,0.10297814407241912,35596.0,5427603.0,126.10752326248976,157.31474218033566,2.08,352.27,21646.48,150377.77,2.1333333333333333,10384846.0,6.6000000000000005,6.827990310513274,22
azores,2020-10-01,4T2020,2020,2020Q4,2020-10-01,928.9166666666666,6.933333333333334,6.834019032601623,-0.0029560643194663783,0.09438659101362745,39139.0,6098441.0,128.86744612614154,172.97285352837838,2.1266666666666665,488.87,22135.35,150377.77,2.1,10384846.0,5.4,6.83697509692109,23
azores,2021-01-01,1T2021,2021,2021Q1,2021-01-01,959.5833333333334,7.7,6.866499162466785,0.0324801298651618,0.0861985388377624,34614.0,5595240.0,133.69065495381548,152.97484228087814,1.9566666666666668,345.02,22480.37,164176.4,1.9,,6.5,6.834019032601623,24
azores,2021-04-01,2T2021,2021,2021Q2,2021-04-01,956.3333333333334,7.333333333333333,6.863106527313255,-0.0033926351535296106,0.035116216799981004,41736.0,6933006.0,137.38675721914424,184.45016517694373,2.193333333333334,512.35,22992.72,164176.4,2.866666666666667,,6.7,6.866499162466785,25
azores,2021-07-01,3T2021,2021,2021Q3,2021-07-01,958.65,7.033333333333334,6.8655260447644,0.0024195174511447703,0.02855094784331058,43447.0,7345978.0,139.83759623515712,192.0118441259985,2.18,570.74,23563.46,164176.4,4.033333333333334,,6.7,6.863106527313255,26
azores,2021-10-01,4T2021,2021,2021Q4,2021-10-01,1023.95,6.466666666666666,6.931422976282321,0.06589693151792098,0.09740394368069794,45885.0,8225207.0,148.2552976019511,202.7864632246517,2.1533333333333333,700.74,24264.2,164176.4,5.300000000000001,,8.1,6.8655260447644,27
azores,2022-01-01,1T2022,2022,2022Q1,2022-01-01,1084.4222222222222,7.15,6.9888026100576806,0.05737963377535937,0.12230344759089551,43544.0,8081797.0,153.50189341648706,192.44053077594492,2.3266666666666667,615.95,24880.15,175732.61,6.766666666666667,10764411.0,6.5,6.931422976282321,28
azores,2022-04-01,2T2022,2022,2022Q2,2022-04-01,1075.8555555555556,6.95,6.98087148966172,-0.007931120395960889,0.11776496234846423,43607.0,8287705.0,157.1853964180325,192.71895612591013,2.98,1047.15,25927.3,175732.61,8.666666666666666,10764411.0,6.2,6.9888026100576806,29
azores,2022-07-01,3T2022,2022,2022Q3,2022-07-01,1133.2222222222224,,7.032820377914299,0.05194888825257937,0.16729433314989883,42223.0,8051492.0,157.71078703058802,186.6024373266747,3.2266666666666666,738.85,26666.15,175732.61,10.333333333333334,10764411.0,6.1,6.98087148966172,30
azores,2022-10-01,4T2022,2022,2022Q4,2022-10-01,1171.0777777777778,8.15,7.065679781355953,0.03285940344165361,0.13425680507363147,38526.0,7362219.0,158.04797371910158,170.26373067871702,3.9066666666666663,762.23,27428.38,175732.61,11.566666666666668,10764411.0,5.6,7.032820377914299,31
azores,2023-01-01,1T2023,2023,2023Q1,2023-01-01,1268.177777777778,,7.145336328464386,0.07965654710843317,0.15653371840670527,34493.0,6857332.0,164.42139501587408,152.440088830945,4.003333333333333,850.7,28279.08,192753.71,,11067026.0,6.3,7.065679781355953,32
azores,2023-04-01,2T2023,2023,2023Q2,2023-04-01,1231.1333333333334,8.9,7.115690433343663,-0.0296458951207228,0.13481894368194336,33624.0,6904628.0,169.83415260390527,148.59958678142505,4.073333333333333,1030.38,29309.46,192753.71,,11067026.0,6.7,7.145336328464386,33
azores,2023-07-01,3T2023,2023,2023Q3,2023-07-01,1263.5333333333333,,7.14166730822409,0.02597687488042677,0.10884693030979076,34256.0,7072380.0,170.75092220163313,151.39267918107592,3.9966666666666666,1140.31,30449.77,192753.71,,11067026.0,6.0,7.115690433343663,34
azores,2023-10-01,4T2023,2023,2023Q4,2023-10-01,1365.9444444444443,9.9,7.21960136905803,0.0779340608339405,0.15392158770207764,34126.0,7174277.0,173.87088910761483,150.81815068114773,3.966666666666667,853.13,31302.9,192753.71,,11067026.0,6.9,7.14166730822409,35
