geo_level,region,year,population
NUTS 2024,Portugal,1982,9911771
NUTS 2024,Portugal,1983,9957865
NUTS 2024,Portugal,1984,9996232
NUTS 2024,Portugal,1985,10023613
NUTS 2024,Portugal,1986,10032734
NUTS 2024,Portugal,1987,10030031
NUTS 2024,Portugal,1988,10019610
NUTS 2024,Portugal,1989,10005000
NUTS 2024,Portugal,1990,9983218
NUTS 2024,Portugal,1991,9960235
NUTS 2024,Portugal,1992,9952494
NUTS 2024,Portugal,1993,9964675
NUTS 2024,Portugal,1994,9991525
NUTS 2024,Portugal,1995,10026176
NUTS 2024,Portugal,1996,10063945
NUTS 2024,Portugal,1997,10108977
NUTS 2024,Portugal,1998,10160196
NUTS 2024,Portugal,1999,10217828
NUTS 2024,Portugal,2000,10289898
NUTS 2024,Portugal,2001,10362722
NUTS 2024,Portugal,2002,10419631
NUTS 2024,Portugal,2003,10458821
NUTS 2024,Portugal,2004,10483861
NUTS 2024,Portugal,2005,10503330
NUTS 2024,Portugal,2006,10522288
NUTS 2024,Portugal,2007,10542964
NUTS 2024,Portugal,2008,10558177
NUTS 2024,Portugal,2009,10568247
NUTS 2024,Portugal,2010,10573100
NUTS 2024,Portugal,2011,10565836
NUTS 2024,Portugal,2012,10531420
NUTS 2024,Portugal,2013,10473991
NUTS 2024,Portugal,2014,10419607
NUTS 2024,Portugal,2015,10381838
NUTS 2024,Portugal,2016,10356516
NUTS 2024,Portugal,2017,10340124
NUTS 2024,Portugal,2018,10334633
NUTS 2024,Portugal,2019,10354446
NUTS 2024,Portugal,2020,10384846
NUTS 2024,Portugal,2022,10764411
NUTS 2024,Portugal,2023,11067026
NUTS 2024,Portugal,2024,11295785
NUTS 2024,Portugal,2025,11405627
NUTS I,Continente,1982,9410282
NUTS I,Continente,1983,9453685
NUTS I,Continente,1984,9489716
NUTS I,Continente,1985,9515429
NUTS I,Continente,1986,9524872
NUTS I,Continente,1987,9524155
NUTS I,Continente,1988,9516686
NUTS I,Continente,1989,9505538
NUTS I,Continente,1990,9487883
NUTS I,Continente,1991,9466850
NUTS I,Continente,1992,9459921
NUTS I,Continente,1993,9474762
NUTS I,Continente,1994,9504265
NUTS I,Continente,1995,9540823
NUTS I,Continente,1996,9580149
NUTS I,Continente,1997,9626140
NUTS I,Continente,1998,9677652
NUTS I,Continente,1999,9734757
NUTS I,Continente,2000,9805339
NUTS I,Continente,2001,9874675
NUTS I,Continente,2002,9927082
NUTS I,Continente,2003,9962630
NUTS I,Continente,2004,9984537
NUTS I,Continente,2005,10001054
NUTS I,Continente,2006,10017040
NUTS I,Continente,2007,10034679
NUTS I,Continente,2008,10047363
NUTS I,Continente,2009,10055535
NUTS I,Continente,2010,10058932
NUTS I,Continente,2011,10051230
NUTS I,Continente,2012,10018638
NUTS I,Continente,2013,9964912
NUTS I,Continente,2014,9915621
NUTS I,Continente,2015,9883307
NUTS I,Continente,2016,9862219
NUTS I,Continente,2017,9848893
NUTS I,Continente,2018,9845500
NUTS I,Continente,2019,9866420
NUTS I,Continente,2020,9896175
NUTS I,Continente,2022,10268102
NUTS I,Continente,2023,10565885
NUTS I,Continente,2024,10789350
NUTS I,Continente,2025,10895373
NUTS II,Norte,1982,3450553
NUTS II,Norte,1983,3475380
NUTS II,Norte,1984,3497128
NUTS II,Norte,1985,3514503
NUTS II,Norte,1986,3522873
NUTS II,Norte,1987,3525045
NUTS II,Norte,1988,3524033
NUTS II,Norte,1989,3520769
NUTS II,Norte,1990,3514049
NUTS II,Norte,1991,3510299
NUTS II,Norte,1992,3514766
NUTS II,Norte,1993,3526345
NUTS II,Norte,1994,3542567
NUTS II,Norte,1995,3560234
NUTS II,Norte,1996,3578429
NUTS II,Norte,1997,3598094
NUTS II,Norte,1998,3619049
NUTS II,Norte,1999,3640930
NUTS II,Norte,2000,3665926
NUTS II,Norte,2001,3688037
NUTS II,Norte,2002,3702314
NUTS II,Norte,2003,3711017
NUTS II,Norte,2004,3715305
NUTS II,Norte,2005,3717466
NUTS II,Norte,2006,3718980
NUTS II,Norte,2007,3719836
NUTS II,Norte,2008,3716164
NUTS II,Norte,2009,3709267
NUTS II,Norte,2010,3699783
NUTS II,Norte,2011,3688728
NUTS II,Norte,2012,3673378
NUTS II,Norte,2013,3651843
NUTS II,Norte,2014,3629804
NUTS II,Norte,2015,3612299
NUTS II,Norte,2016,3601191
NUTS II,Norte,2017,3594496
NUTS II,Norte,2018,3592016
NUTS II,Norte,2019,3595836
NUTS II,Norte,2020,3600738
NUTS II,Norte,2022,3640337
NUTS II,Norte,2023,3708349
NUTS II,Norte,2024,3758646
NUTS II,Norte,2025,3784230
NUTS III,Alto Minho,1982,258629
NUTS III,Alto Minho,1983,259459
NUTS III,Alto Minho,1984,259968
NUTS III,Alto Minho,1985,260194
NUTS III,Alto Minho,1986,259697
NUTS III,Alto Minho,1987,258720
NUTS III,Alto Minho,1988,257507
NUTS III,Alto Minho,1989,256008
NUTS III,Alto Minho,1990,254201
NUTS III,Alto Minho,1991,251928
NUTS III,Alto Minho,1992,249938
NUTS III,Alto Minho,1993,248758
NUTS III,Alto Minho,1994,247988
NUTS III,Alto Minho,1995,247537
NUTS III,Alto Minho,1996,247300
NUTS III,Alto Minho,1997,247289
NUTS III,Alto Minho,1998,247522
NUTS III,Alto Minho,1999,248062
NUTS III,Alto Minho,2000,249041
NUTS III,Alto Minho,2001,250079
NUTS III,Alto Minho,2002,250657
NUTS III,Alto Minho,2003,250650
NUTS III,Alto Minho,2004,250305
NUTS III,Alto Minho,2005,249875
NUTS III,Alto Minho,2006,249300
NUTS III,Alto Minho,2007,248749
NUTS III,Alto Minho,2008,248004
NUTS III,Alto Minho,2009,247091
NUTS III,Alto Minho,2010,245998
NUTS III,Alto Minho,2011,244343
NUTS III,Alto Minho,2012,242325
NUTS III,Alto Minho,2013,240193
NUTS III,Alto Minho,2014,238008
NUTS III,Alto Minho,2015,236159
NUTS III,Alto Minho,2016,234722
NUTS III,Alto Minho,2017,233422
NUTS III,Alto Minho,2018,232402
NUTS III,Alto Minho,2019,232005
NUTS III,Alto Minho,2020,232234
NUTS III,Alto Minho,2022,233800
NUTS III,Alto Minho,2023,239127
NUTS III,Alto Minho,2024,242638
NUTS III,Alto Minho,2025,244098
Município,Arcos de Valdevez,1982,31270
Município,Arcos de Valdevez,1983,31223
Município,Arcos de Valdevez,1984,31118
Município,Arcos de Valdevez,1985,30942
Município,Arcos de Valdevez,1986,30543
Município,Arcos de Valdevez,1987,29953
Município,Arcos de Valdevez,1988,29285
Município,Arcos de Valdevez,1989,28594
Município,Arcos de Valdevez,1990,27838
Município,Arcos de Valdevez,1991,27084
Município,Arcos de Valdevez,1992,26529
Município,Arcos de Valdevez,1993,26123
Município,Arcos de Valdevez,1994,25778
Município,Arcos de Valdevez,1995,25512
Município,Arcos de Valdevez,1996,25270
Município,Arcos de Valdevez,1997,25061
Município,Arcos de Valdevez,1998,24884
Município,Arcos de Valdevez,1999,24772
Município,Arcos de Valdevez,2000,24726
Município,Arcos de Valdevez,2001,24686
Município,Arcos de Valdevez,2002,24603
Município,Arcos de Valdevez,2003,24448
Município,Arcos de Valdevez,2004,24259
Município,Arcos de Valdevez,2005,24062
Município,Arcos de Valdevez,2006,23854
Município,Arcos de Valdevez,2007,23692
Município,Arcos de Valdevez,2008,23519
Município,Arcos de Valdevez,2009,23297
Município,Arcos de Valdevez,2010,23046
Município,Arcos de Valdevez,2011,22645
Município,Arcos de Valdevez,2012,22240
Município,Arcos de Valdevez,2013,21944
Município,Arcos de Valdevez,2014,21664
Município,Arcos de Valdevez,2015,21420
Município,Arcos de Valdevez,2016,21227
Município,Arcos de Valdevez,2017,21076
Município,Arcos de Valdevez,2018,20926
Município,Arcos de Valdevez,2019,20844
Município,Arcos de Valdevez,2020,20826
Município,Arcos de Valdevez,2022,20012
Município,Arcos de Valdevez,2023,20281
Município,Arcos de Valdevez,2024,20429
Município,Arcos de Valdevez,2025,20446
Município,Caminha,1982,15944
Município,Caminha,1983,15999
Município,Caminha,1984,16057
Município,Caminha,1985,16117
Município,Caminha,1986,16164
Município,Caminha,1987,16221
Município,Caminha,1988,16298
Município,Caminha,1989,16341
Município,Caminha,1990,16370
Município,Caminha,1991,16370
Município,Caminha,1992,16359
Município,Caminha,1993,16394
Município,Caminha,1994,16441
Município,Caminha,1995,16524
Município,Caminha,1996,16610
Município,Caminha,1997,16679
Município,Caminha,1998,16767
Município,Caminha,1999,16851
Município,Caminha,2000,16953
Município,Caminha,2001,17055
Município,Caminha,2002,17100
Município,Caminha,2003,17088
Município,Caminha,2004,17051
Município,Caminha,2005,17013
Município,Caminha,2006,16986
Município,Caminha,2007,16959
Município,Caminha,2008,16892
Município,Caminha,2009,16839
Município,Caminha,2010,16778
Município,Caminha,2011,16724
Município,Caminha,2012,16641
Município,Caminha,2013,16500
Município,Caminha,2014,16345
Município,Caminha,2015,16177
Município,Caminha,2016,16045
Município,Caminha,2017,15940
Município,Caminha,2018,15873
Município,Caminha,2019,15848
Município,Caminha,2020,15863
Município,Caminha,2022,16422
Município,Caminha,2023,16819
Município,Caminha,2024,17040
Município,Caminha,2025,17143
Município,Melgaço,1982,13247
Município,Melgaço,1983,13153
Município,Melgaço,1984,13058
Município,Melgaço,1985,12920
Município,Melgaço,1986,12677
Município,Melgaço,1987,12396
Município,Melgaço,1988,12088
Município,Melgaço,1989,11741
Município,Melgaço,1990,11373
Município,Melgaço,1991,11078
Município,Melgaço,1992,10880
Município,Melgaço,1993,10720
Município,Melgaço,1994,10581
Município,Melgaço,1995,10457
Município,Melgaço,1996,10338
Município,Melgaço,1997,10228
Município,Melgaço,1998,10115
Município,Melgaço,1999,10035
Município,Melgaço,2000,9993
Município,Melgaço,2001,9971
Município,Melgaço,2002,9949
Município,Melgaço,2003,9889
Município,Melgaço,2004,9796
Município,Melgaço,2005,9715
Município,Melgaço,2006,9630
Município,Melgaço,2007,9538
Município,Melgaço,2008,9465
Município,Melgaço,2009,9393
Município,Melgaço,2010,9301
Município,Melgaço,2011,9134
Município,Melgaço,2012,8937
Município,Melgaço,2013,8785
Município,Melgaço,2014,8652
Município,Melgaço,2015,8531
Município,Melgaço,2016,8418
Município,Melgaço,2017,8279
Município,Melgaço,2018,8136
Município,Melgaço,2019,8029
Município,Melgaço,2020,7901
Município,Melgaço,2022,7237
Município,Melgaço,2023,7192
Município,Melgaço,2024,7182
Município,Melgaço,2025,7139
Município,Monção,1982,23882
Município,Monção,1983,23871
Município,Monção,1984,23825
Município,Monção,1985,23735
Município,Monção,1986,23558
Município,Monção,1987,23318
Município,Monção,1988,23033
Município,Monção,1989,22695
Município,Monção,1990,22334
Município,Monção,1991,21889
Município,Monção,1992,21469
Município,Monção,1993,21140
Município,Monção,1994,20840
Município,Monção,1995,20592
Município,Monção,1996,20362
Município,Monção,1997,20201
Município,Monção,1998,20069
Município,Monção,1999,19957
Município,Monção,2000,19913
Município,Monção,2001,19925
Município,Monção,2002,19950
Município,Monção,2003,19919
Município,Monção,2004,19843
Município,Monção,2005,19773
Município,Monção,2006,19698
Município,Monção,2007,19615
Município,Monção,2008,19536
Município,Monção,2009,19448
Município,Monção,2010,19343
Município,Monção,2011,19187
Município,Monção,2012,18994
Município,Monção,2013,18782
Município,Monção,2014,18556
Município,Monção,2015,18361
Município,Monção,2016,18199
Município,Monção,2017,18063
Município,Monção,2018,17953
Município,Monção,2019,17890
Município,Monção,2020,17909
Município,Monção,2022,17581
Município,Monção,2023,18053
Município,Monção,2024,18295
Município,Monção,2025,18276
Município,Paredes de Coura,1982,11320
Município,Paredes de Coura,1983,11333
Município,Paredes de Coura,1984,11325
Município,Paredes de Coura,1985,11286
Município,Paredes de Coura,1986,11206
Município,Paredes de Coura,1987,11094
Município,Paredes de Coura,1988,10971
Município,Paredes de Coura,1989,10837
Município,Paredes de Coura,1990,10679
Município,Paredes de Coura,1991,10497
Município,Paredes de Coura,1992,10338
Município,Paredes de Coura,1993,10217
Município,Paredes de Coura,1994,10098
Município,Paredes de Coura,1995,9986
Município,Paredes de Coura,1996,9880
Município,Paredes de Coura,1997,9779
Município,Paredes de Coura,1998,9703
Município,Paredes de Coura,1999,9637
Município,Paredes de Coura,2000,9579
Município,Paredes de Coura,2001,9565
Município,Paredes de Coura,2002,9556
Município,Paredes de Coura,2003,9509
Município,Paredes de Coura,2004,9459
Município,Paredes de Coura,2005,9429
Município,Paredes de Coura,2006,9404
Município,Paredes de Coura,2007,9368
Município,Paredes de Coura,2008,9321
Município,Paredes de Coura,2009,9280
Município,Paredes de Coura,2010,9240
Município,Paredes de Coura,2011,9138
Município,Paredes de Coura,2012,9029
Município,Paredes de Coura,2013,8952
Município,Paredes de Coura,2014,8869
Município,Paredes de Coura,2015,8811
Município,Paredes de Coura,2016,8761
Município,Paredes de Coura,2017,8706
Município,Paredes de Coura,2018,8677
Município,Paredes de Coura,2019,8685
Município,Paredes de Coura,2020,8711
Município,Paredes de Coura,2022,8570
Município,Paredes de Coura,2023,8667
Município,Paredes de Coura,2024,8725
Município,Paredes de Coura,2025,8723
Município,Ponte da Barca,1982,14111
Município,Ponte da Barca,1983,14139
Município,Ponte da Barca,1984,14169
Município,Ponte da Barca,1985,14182
Município,Ponte da Barca,1986,14093
Município,Ponte da Barca,1987,13953
Município,Ponte da Barca,1988,13808
Município,Ponte da Barca,1989,13642
Município,Ponte da Barca,1990,13431
Município,Ponte da Barca,1991,13229
Município,Ponte da Barca,1992,13082
Município,Ponte da Barca,1993,12986
Município,Ponte da Barca,1994,12944
Município,Ponte da Barca,1995,12918
Município,Ponte da Barca,1996,12872
Município,Ponte da Barca,1997,12817
Município,Ponte da Barca,1998,12796
Município,Ponte da Barca,1999,12809
Município,Ponte da Barca,2000,12836
Município,Ponte da Barca,2001,12866
Município,Ponte da Barca,2002,12861
Município,Ponte da Barca,2003,12798
Município,Ponte da Barca,2004,12711
Município,Ponte da Barca,2005,12630
Município,Ponte da Barca,2006,12541
Município,Ponte da Barca,2007,12458
Município,Ponte da Barca,2008,12368
Município,Ponte da Barca,2009,12264
Município,Ponte da Barca,2010,12149
Município,Ponte da Barca,2011,12037
Município,Ponte da Barca,2012,11924
Município,Ponte da Barca,2013,11799
Município,Ponte da Barca,2014,11669
Município,Ponte da Barca,2015,11532
Município,Ponte da Barca,2016,11426
Município,Ponte da Barca,2017,11335
Município,Ponte da Barca,2018,11250
Município,Ponte da Barca,2019,11194
Município,Ponte da Barca,2020,11150
Município,Ponte da Barca,2022,10958
Município,Ponte da Barca,2023,11073
Município,Ponte da Barca,2024,11122
Município,Ponte da Barca,2025,11119
Município,Ponte de Lima,1982,44351
Município,Ponte de Lima,1983,44630
Município,Ponte de Lima,1984,44843
Município,Ponte de Lima,1985,45020
Município,Ponte de Lima,1986,45002
Município,Ponte de Lima,1987,44828
Município,Ponte de Lima,1988,44624
Município,Ponte de Lima,1989,44414
Município,Ponte de Lima,1990,44116
Município,Ponte de Lima,1991,43825
Município,Ponte de Lima,1992,43633
Município,Ponte de Lima,1993,43549
Município,Ponte de Lima,1994,43552
Município,Ponte de Lima,1995,43592
Município,Ponte de Lima,1996,43650
Município,Ponte de Lima,1997,43705
Município,Ponte de Lima,1998,43796
Município,Ponte de Lima,1999,43937
Município,Ponte de Lima,2000,44130
Município,Ponte de Lima,2001,44297
Município,Ponte de Lima,2002,44377
Município,Ponte de Lima,2003,44404
Município,Ponte de Lima,2004,44380
Município,Ponte de Lima,2005,44332
Município,Ponte de Lima,2006,44261
Município,Ponte de Lima,2007,44186
Município,Ponte de Lima,2008,44064
Município,Ponte de Lima,2009,43888
Município,Ponte de Lima,2010,43677
Município,Ponte de Lima,2011,43493
Município,Ponte de Lima,2012,43264
Município,Ponte de Lima,2013,42898
Município,Ponte de Lima,2014,42501
Município,Ponte de Lima,2015,42181
Município,Ponte de Lima,2016,41922
Município,Ponte de Lima,2017,41657
Município,Ponte de Lima,2018,41463
Município,Ponte de Lima,2019,41345
Município,Ponte de Lima,2020,41318
Município,Ponte de Lima,2022,41221
Município,Ponte de Lima,2023,41810
Município,Ponte de Lima,2024,42336
Município,Ponte de Lima,2025,42761
Município,Valença,1982,13936
Município,Valença,1983,13965
Município,Valença,1984,13989
Município,Valença,1985,14042
Município,Valença,1986,14165
Município,Valença,1987,14329
Município,Valença,1988,14510
Município,Valença,1989,14696
Município,Valença,1990,14889
Município,Valença,1991,14861
Município,Valença,1992,14664
Município,Valença,1993,14521
Município,Valença,1994,14396
Município,Valença,1995,14275
Município,Valença,1996,14185
Município,Valença,1997,14122
Município,Valença,1998,14093
Município,Valença,1999,14097
Município,Valença,2000,14122
Município,Valença,2001,14187
Município,Valença,2002,14235
Município,Valença,2003,14237
Município,Valença,2004,14237
Município,Valença,2005,14234
Município,Valença,2006,14221
Município,Valença,2007,14203
Município,Valença,2008,14189
Município,Valença,2009,14176
Município,Valença,2010,14161
Município,Valença,2011,14091
Município,Valença,2012,13985
Município,Valença,2013,13886
Município,Valença,2014,13768
Município,Valença,2015,13678
Município,Valença,2016,13624
Município,Valença,2017,13573
Município,Valença,2018,13530
Município,Valença,2019,13554
Município,Valença,2020,13644
Município,Valença,2022,14250
Município,Valença,2023,15031
Município,Valença,2024,15531
Município,Valença,2025,15705
Município,Viana do Castelo,1982,81883
Município,Viana do Castelo,1983,82433
Município,Viana do Castelo,1984,82868
Município,Viana do Castelo,1985,83213
Município,Viana do Castelo,1986,83493
Município,Viana do Castelo,1987,83756
Município,Viana do Castelo,1988,83919
Município,Viana do Castelo,1989,83977
Município,Viana do Castelo,1990,83999
Município,Viana do Castelo,1991,83909
Município,Viana do Castelo,1992,83872
Município,Viana do Castelo,1993,84073
Município,Viana do Castelo,1994,84411
Município,Viana do Castelo,1995,84801
Município,Viana do Castelo,1996,85287
Município,Viana do Castelo,1997,85886
Município,Viana do Castelo,1998,86514
Município,Viana do Castelo,1999,87181
Município,Viana do Castelo,2000,87973
Município,Viana do Castelo,2001,88645
Município,Viana do Castelo,2002,89065
Município,Viana do Castelo,2003,89332
Município,Viana do Castelo,2004,89496
Município,Viana do Castelo,2005,89586
Município,Viana do Castelo,2006,89573
Município,Viana do Castelo,2007,89558
Município,Viana do Castelo,2008,89438
Município,Viana do Castelo,2009,89263
Município,Viana do Castelo,2010,89031
Município,Viana do Castelo,2011,88635
Município,Viana do Castelo,2012,88131
Município,Viana do Castelo,2013,87551
Município,Viana do Castelo,2014,86964
Município,Viana do Castelo,2015,86516
Município,Viana do Castelo,2016,86213
Município,Viana do Castelo,2017,85962
Município,Viana do Castelo,2018,85777
Município,Viana do Castelo,2019,85753
Município,Viana do Castelo,2020,85995
Município,Viana do Castelo,2022,88144
Município,Viana do Castelo,2023,90378
Município,Viana do Castelo,2024,91950
Município,Viana do Castelo,2025,92712
Município,Vila Nova de Cerveira,1982,8685
Município,Vila Nova de Cerveira,1983,8716
Município,Vila Nova de Cerveira,1984,8718
Município,Vila Nova de Cerveira,1985,8739
Município,Vila Nova de Cerveira,1986,8800
Município,Vila Nova de Cerveira,1987,8873
Município,Vila Nova de Cerveira,1988,8973
Município,Vila Nova de Cerveira,1989,9073
Município,Vila Nova de Cerveira,1990,9174
Município,Vila Nova de Cerveira,1991,9189
Município,Vila Nova de Cerveira,1992,9114
Município,Vila Nova de Cerveira,1993,9038
Município,Vila Nova de Cerveira,1994,8949
Município,Vila Nova de Cerveira,1995,8882
Município,Vila Nova de Cerveira,1996,8849
Município,Vila Nova de Cerveira,1997,8814
Município,Vila Nova de Cerveira,1998,8787
Município,Vila Nova de Cerveira,1999,8788
Município,Vila Nova de Cerveira,2000,8817
Município,Vila Nova de Cerveira,2001,8886
Município,Vila Nova de Cerveira,2002,8963
Município,Vila Nova de Cerveira,2003,9027
Município,Vila Nova de Cerveira,2004,9076
Município,Vila Nova de Cerveira,2005,9104
Município,Vila Nova de Cerveira,2006,9133
Município,Vila Nova de Cerveira,2007,9174
Município,Vila Nova de Cerveira,2008,9214
Município,Vila Nova de Cerveira,2009,9244
Município,Vila Nova de Cerveira,2010,9275
Município,Vila Nova de Cerveira,2011,9260
Município,Vila Nova de Cerveira,2012,9183
Município,Vila Nova de Cerveira,2013,9100
Município,Vila Nova de Cerveira,2014,9023
Município,Vila Nova de Cerveira,2015,8954
Município,Vila Nova de Cerveira,2016,8889
Município,Vila Nova de Cerveira,2017,8833
Município,Vila Nova de Cerveira,2018,8818
Município,Vila Nova de Cerveira,2019,8866
Município,Vila Nova de Cerveira,2020,8920
Município,Vila Nova de Cerveira,2022,9407
Município,Vila Nova de Cerveira,2023,9826
Município,Vila Nova de Cerveira,2024,10031
Município,Vila Nova de Cerveira,2025,10077
NUTS III,Cávado,1982,334207
NUTS III,Cávado,1983,337955
NUTS III,Cávado,1984,341523
NUTS III,Cávado,1985,344742
NUTS III,Cávado,1986,347431
NUTS III,Cávado,1987,349817
NUTS III,Cávado,1988,351977
NUTS III,Cávado,1989,354004
NUTS III,Cávado,1990,355790
NUTS III,Cávado,1991,357463
NUTS III,Cávado,1992,359499
NUTS III,Cávado,1993,362240
NUTS III,Cávado,1994,365589
NUTS III,Cávado,1995,368994
NUTS III,Cávado,1996,372530
NUTS III,Cávado,1997,376414
NUTS III,Cávado,1998,380426
NUTS III,Cávado,1999,384662
NUTS III,Cávado,2000,389402
NUTS III,Cávado,2001,393804
NUTS III,Cávado,2002,397258
NUTS III,Cávado,2003,399942
NUTS III,Cávado,2004,402053
NUTS III,Cávado,2005,404022
NUTS III,Cávado,2006,405905
NUTS III,Cávado,2007,407624
NUTS III,Cávado,2008,408882
NUTS III,Cávado,2009,409822
NUTS III,Cávado,2010,410340
NUTS III,Cávado,2011,410759
NUTS III,Cávado,2012,410611
NUTS III,Cávado,2013,409426
NUTS III,Cávado,2014,408175
NUTS III,Cávado,2015,407550
NUTS III,Cávado,2016,407764
NUTS III,Cávado,2017,408651
NUTS III,Cávado,2018,410366
NUTS III,Cávado,2019,413402
NUTS III,Cávado,2020,416752
NUTS III,Cávado,2022,424107
NUTS III,Cávado,2023,435840
NUTS III,Cávado,2024,444287
NUTS III,Cávado,2025,448821
Município,Amares,1982,16715
Município,Amares,1983,16880
Município,Amares,1984,17019
Município,Amares,1985,17123
Município,Amares,1986,17169
Município,Amares,1987,17159
Município,Amares,1988,17114
Município,Amares,1989,17057
Município,Amares,1990,16971
Município,Amares,1991,16901
Município,Amares,1992,16906
Município,Amares,1993,16996
Município,Amares,1994,17134
Município,Amares,1995,17278
Município,Amares,1996,17449
Município,Amares,1997,17662
Município,Amares,1998,17868
Município,Amares,1999,18075
Município,Amares,2000,18326
Município,Amares,2001,18528
Município,Amares,2002,18654
Município,Amares,2003,18731
Município,Amares,2004,18781
Município,Amares,2005,18836
Município,Amares,2006,18883
Município,Amares,2007,18926
Município,Amares,2008,18940
Município,Amares,2009,18942
Município,Amares,2010,18924
Município,Amares,2011,18893
Município,Amares,2012,18832
Município,Amares,2013,18709
Município,Amares,2014,18569
Município,Amares,2015,18454
Município,Amares,2016,18384
Município,Amares,2017,18369
Município,Amares,2018,18385
Município,Amares,2019,18433
Município,Amares,2020,18568
Município,Amares,2022,18643
Município,Amares,2023,19135
Município,Amares,2024,19475
Município,Amares,2025,19661
Município,Barcelos,1982,105490
Município,Barcelos,1983,106716
Município,Barcelos,1984,107926
Município,Barcelos,1985,108983
Município,Barcelos,1986,109831
Município,Barcelos,1987,110606
Município,Barcelos,1988,111313
Município,Barcelos,1989,111961
Município,Barcelos,1990,112515
Município,Barcelos,1991,113016
Município,Barcelos,1992,113560
Município,Barcelos,1993,114304
Município,Barcelos,1994,115249
Município,Barcelos,1995,116193
Município,Barcelos,1996,117163
Município,Barcelos,1997,118223
Município,Barcelos,1998,119219
Município,Barcelos,1999,120171
Município,Barcelos,2000,121232
Município,Barcelos,2001,122041
Município,Barcelos,2002,122368
Município,Barcelos,2003,122454
Município,Barcelos,2004,122428
Município,Barcelos,2005,122348
Município,Barcelos,2006,122222
Município,Barcelos,2007,122050
Município,Barcelos,2008,121739
Município,Barcelos,2009,121325
Município,Barcelos,2010,120787
Município,Barcelos,2011,120277
Município,Barcelos,2012,119731
Município,Barcelos,2013,118977
Município,Barcelos,2014,118209
Município,Barcelos,2015,117588
Município,Barcelos,2016,117152
Município,Barcelos,2017,116817
Município,Barcelos,2018,116655
Município,Barcelos,2019,116784
Município,Barcelos,2020,117091
Município,Barcelos,2022,116915
Município,Barcelos,2023,119075
Município,Barcelos,2024,120866
Município,Barcelos,2025,122067
Município,Braga,1982,127651
Município,Braga,1983,129287
Município,Braga,1984,130881
Município,Braga,1985,132470
Município,Braga,1986,134141
Município,Braga,1987,135984
Município,Braga,1988,137851
Município,Braga,1989,139657
Município,Braga,1990,141476
Município,Braga,1991,143185
Município,Braga,1992,144850
Município,Braga,1993,146625
Município,Braga,1994,148603
Município,Braga,1995,150614
Município,Braga,1996,152631
Município,Braga,1997,154808
Município,Braga,1998,157125
Município,Braga,1999,159590
Município,Braga,2000,162250
Município,Braga,2001,164886
Município,Braga,2002,167325
Município,Braga,2003,169499
Município,Braga,2004,171404
Município,Braga,2005,173254
Município,Braga,2006,175051
Município,Braga,2007,176769
Município,Braga,2008,178315
Município,Braga,2009,179717
Município,Braga,2010,180948
Município,Braga,2011,182122
Município,Braga,2012,182929
Município,Braga,2013,183177
Município,Braga,2014,183421
Município,Braga,2015,184022
Município,Braga,2016,185038
Município,Braga,2017,186432
Município,Braga,2018,188349
Município,Braga,2019,191066
Município,Braga,2020,193292
Município,Braga,2022,199662
Município,Braga,2023,206443
Município,Braga,2024,210734
Município,Braga,2025,212508
Município,Esposende,1982,29113
Município,Esposende,1983,29412
Município,Esposende,1984,29681
Município,Esposende,1985,29916
Município,Esposende,1986,30078
Município,Esposende,1987,30161
Município,Esposende,1988,30220
Município,Esposende,1989,30316
Município,Esposende,1990,30388
Município,Esposende,1991,30430
Município,Esposende,1992,30523
Município,Esposende,1993,30724
Município,Esposende,1994,30987
Município,Esposende,1995,31253
Município,Esposende,1996,31563
Município,Esposende,1997,31893
Município,Esposende,1998,32209
Município,Esposende,1999,32558
Município,Esposende,2000,32988
Município,Esposende,2001,33380
Município,Esposende,2002,33657
Município,Esposende,2003,33838
Município,Esposende,2004,33944
Município,Esposende,2005,34038
Município,Esposende,2006,34126
Município,Esposende,2007,34216
Município,Esposende,2008,34289
Município,Esposende,2009,34327
Município,Esposende,2010,34315
Município,Esposende,2011,34384
Município,Esposende,2012,34435
Município,Esposende,2013,34372
Município,Esposende,2014,34303
Município,Esposende,2015,34245
Município,Esposende,2016,34268
Município,Esposende,2017,34365
Município,Esposende,2018,34501
Município,Esposende,2019,34714
Município,Esposende,2020,35076
Município,Esposende,2022,36212
Município,Esposende,2023,37333
Município,Esposende,2024,38237
Município,Esposende,2025,38838
Município,Terras de Bouro,1982,10227
Município,Terras de Bouro,1983,10261
Município,Terras de Bouro,1984,10273
Município,Terras de Bouro,1985,10255
Município,Terras de Bouro,1986,10183
Município,Terras de Bouro,1987,10059
Município,Terras de Bouro,1988,9926
Município,Terras de Bouro,1989,9793
Município,Terras de Bouro,1990,9630
Município,Terras de Bouro,1991,9433
Município,Terras de Bouro,1992,9250
Município,Terras de Bouro,1993,9121
Município,Terras de Bouro,1994,9008
Município,Terras de Bouro,1995,8905
Município,Terras de Bouro,1996,8788
Município,Terras de Bouro,1997,8672
Município,Terras de Bouro,1998,8563
Município,Terras de Bouro,1999,8457
Município,Terras de Bouro,2000,8370
Município,Terras de Bouro,2001,8306
Município,Terras de Bouro,2002,8231
Município,Terras de Bouro,2003,8133
Município,Terras de Bouro,2004,8032
Município,Terras de Bouro,2005,7929
Município,Terras de Bouro,2006,7838
Município,Terras de Bouro,2007,7740
Município,Terras de Bouro,2008,7622
